eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Yanoama,Guaica,YANOMAMI,2,-65,0,0,1,1,2,1,1,1,6,1,2,3,1,South America
Yanoama,Shiriana,NINAM,4,-63,0,0,1,1,2,1,2,2,2,1,2,3,1,South America
Yanoama,Sanema,SANIMA,4,-66,0,0,1,1,6,1,2,2,2,1,2,3,1,South America
Yanoama,Yanomami,YANOMAME,2,-65,0,0,1,1,3,1,5,5,5,1,2,3,1,South America
Yap,Yapese,YAPESE,9.55,138.13,0,0,2,2,1,3,1,1,6,4,2,NA,3,Oceania
Yemen,Yemeni,YEMEN_SANAANI_ARABIC,15,45,0,0,1,1,6,4,2,2,1,4,NA,NA,2,Middle East
Yi,Lolo,NUOSU_YI,29,103,0,0,1,1,2,7,2,2,1,4,NA,NA,1,Asia
Yokuts,Southern Valley Yokuts,YOKUTS_TINLINNEH,36,-120,0,0,1,1,2,1,1,1,6,2,2,1,1,North America
Yokuts,Wukchumni,YOKUTS_TINLINNEH_Wukchumni,36,-119,0,0,1,1,2,1,1,1,6,2,2,1,1,North America
Yokuts,Northern Foothill Yokuts,YOKUTS_TINLINNEH_Northern_Foothill_Yokuts,36,-120,0,0,1,1,5,1,1,1,6,2,2,1,1,North America
Yoruba,Egba,YORUBA,7,3,0,0,1,1,6,7,2,2,1,4,1,NA,1,Africa
Yoruba,Ekiti,YORUBA_2,8,5,0,0,1,1,6,6,2,2,1,4,1,NA,1,Africa
Yoruba,Ife,IFE,7,5,0,0,1,1,6,6,2,2,1,4,1,NA,1,Africa
Yoruba,Oyo Yoruba,YORUBA_3,8,4,0,0,1,1,5,6,2,2,1,5,1,NA,1,Africa
Yucatec Maya,Yucatec Maya,MAYA_YUCATAN,18,-90,0,0,2,2,1,6,2,2,2,5,0,0,1,Middle America and the Caribbean
Yukaghir,Yukaghir,NORTHERN_YUKAGHIR,70,145,0,0,1,1,2,1,2,2,2,1,2,NA,3,Asia
Yuki,Coast Yuki,YUKI,39.34,-123.77,0,0,1,1,5,1,1,1,6,1,2,3,1,North America
Yuki,Yuki,YUKI_Yuki,40,-123,0,0,1,1,2,1,4,4,4,2,2,3,1,North America
Yurok,Yurok,YUROK,41,-124,0,0,1,1,6,4,2,2,1,2,NA,NA,1,North America
Zapotec,Zapotec,ZAPOTEC_YALALAG,17,-96,0,0,2,2,1,5,1,1,6,NA,NA,NA,3,Middle America and the Caribbean
Zia Pueblo,Sia,SANTA_ANA_KERES,36,-107,0,0,2,2,1,7,1,1,6,1,NA,NA,3,North America
Zulu,Zulu,ZULU,-29,31,0,0,1,1,5,7,2,2,1,4,2,1,1,Africa
Zuni,Zuni,ZUNI,35,-109,0,0,2,2,1,3,1,1,6,1,NA,NA,1,North America
